strYMDH,Time,Wind_Speed_in_kts,Wind_Gust_in_kts,Wind_Direction_in_deg,Visibility_in_mi,Precipitation_in_in,Precipitation_Type,Temperature,Dew_Point,Altimeter_in_in_H
2008-01-01 00,'2008-01-01 12:51 am CST,17,25,300,1,0,light snow,24.8,21.2,29.88
2008-01-01 01,'2008-01-01 01:51 am CST,15,M,310,2,0,light snow,24.8,19.4,29.92
2008-01-01 02,'2008-01-01 02:51 am CST,17,M,310,4,0,blowing snow,23,17.6,29.96
2008-01-01 03,'2008-01-01 03:51 am CST,17,M,310,2,0,light snow,23,17.6,29.98
2008-01-01 04,'2008-01-01 04:51 am CST,10,20,290,5,0,blowing snow,23,17.6,30.01
2008-01-01 05,'2008-01-01 05:51 am CST,12,22,300,1,0,light snow,21.2,17.6,30.03
2008-01-01 06,'2008-01-01 06:51 am CST,13,M,300,6,0,blowing snow,21.2,15.8,30.06
2008-01-01 07,'2008-01-01 07:51 am CST,12,M,300,7,0,none,21.2,15.8,30.07
2008-01-01 08,'2008-01-01 08:51 am CST,12,M,290,4,0,light snow,21.2,14,30.09
2008-01-01 09,'2008-01-01 09:51 am CST,13,M,290,3,0,light snow,21.2,15.8,30.11
2008-01-01 10,'2008-01-01 10:51 am CST,13,22,290,3,0,light snow,21.2,15.8,30.12
2008-01-01 11,'2008-01-01 11:51 am CST,13,M,310,2,0.01,light snow,21.2,15.8,30.12
2008-01-01 24,'2008-01-01 12:51 pm CST,13,M,300,2,0,light snow,21.2,15.8,30.12
2008-01-01 13,'2008-01-01 01:51 pm CST,14,M,310,2,0,light snow,19.4,14,30.14
2008-01-01 14,'2008-01-01 02:51 pm CST,17,M,300,3,0,light snow,19.4,12.2,30.17
2008-01-01 15,'2008-01-01 03:51 pm CST,14,21,300,2,0,light snow,17.6,12.2,30.21
2008-01-01 16,'2008-01-01 04:51 pm CST,20,M,310,2,0,light snow,15.8,8.6,30.24
2008-01-01 17,'2008-01-01 05:51 pm CST,13,22,290,7,0.01,light snow,15.8,8.6,30.27
2008-01-01 18,'2008-01-01 06:51 pm CST,16,M,300,10,0,snow,12.2,5,30.29
2008-01-01 19,'2008-01-01 07:51 pm CST,18,26,300,10,0,drizzle snow,10.4,3.2,30.31
2008-01-01 20,'2008-01-01 08:51 pm CST,18,25,300,10,0,none,8.6,1.4,30.33
2008-01-01 21,'2008-01-01 09:51 pm CST,15,M,300,10,0,none,6.8,-0.4,30.34
2008-01-01 22,'2008-01-01 10:51 pm CST,15,M,300,10,0,none,6.8,-2.2,30.36
2008-01-01 23,'2008-01-01 11:51 pm CST,16,M,300,10,0,none,3.2,-2.2,30.37
2008-01-02 00,'2008-01-02 12:51 am CST,15,M,300,10,0,none,3.2,-4,30.38
2008-01-02 01,'2008-01-02 01:51 am CST,15,M,300,10,0,none,3.2,-4,30.4
2008-01-02 02,'2008-01-02 02:51 am CST,12,M,290,10,0,none,1.4,-5.8,30.41
2008-01-02 03,'2008-01-02 03:51 am CST,13,M,300,10,0,none,1.4,-4,30.43
2008-01-02 04,'2008-01-02 04:51 am CST,12,M,300,10,0,none,3.2,-2.2,30.45
2008-01-02 05,'2008-01-02 05:51 am CST,8,M,290,10,0,none,1.4,-4,30.48
2008-01-02 06,'2008-01-02 06:51 am CST,12,M,300,10,0,light snow,3.2,-2.2,30.5
2008-01-02 07,'2008-01-02 07:51 am CST,10,M,290,10,0,snow,6.8,-0.4,30.52
2008-01-02 08,'2008-01-02 08:51 am CST,12,M,300,4,0,light snow,6.8,1.4,30.55
2008-01-02 09,'2008-01-02 09:51 am CST,10,M,310,10,0,snow,10.4,3.2,30.58
2008-01-02 10,'2008-01-02 10:51 am CST,13,M,330,10,0,none,15.8,6.8,30.58
2008-01-02 11,'2008-01-02 11:51 am CST,14,M,310,10,0,none,17.6,8.6,30.58
2008-01-02 24,'2008-01-02 12:51 pm CST,12,M,300,10,0,none,19.4,8.6,30.59
2008-01-02 13,'2008-01-02 01:51 pm CST,12,M,300,10,0,none,19.4,8.6,30.59
2008-01-02 14,'2008-01-02 02:51 pm CST,10,M,290,10,0,none,19.4,8.6,30.61
2008-01-02 15,'2008-01-02 03:51 pm CST,10,M,280,10,0,none,19.4,8.6,30.63
2008-01-02 16,'2008-01-02 04:51 pm CST,13,M,290,10,0,none,15.8,6.8,30.66
2008-01-02 17,'2008-01-02 05:51 pm CST,10,M,290,10,0,none,15.8,6.8,30.68
2008-01-02 18,'2008-01-02 06:51 pm CST,8,M,280,10,0,none,12.2,5,30.69
2008-01-02 19,'2008-01-02 07:51 pm CST,7,M,280,10,0,none,10.4,3.2,30.7
2008-01-02 20,'2008-01-02 08:51 pm CST,7,M,290,10,0,none,8.6,1.4,30.71
2008-01-02 21,'2008-01-02 09:51 pm CST,8,M,290,10,0,none,8.6,-0.4,30.71
2008-01-02 22,'2008-01-02 10:51 pm CST,7,M,280,10,0,none,6.8,-0.4,30.72
2008-01-02 23,'2008-01-02 11:51 pm CST,3,M,270,10,0,none,6.8,-0.4,30.7
2008-01-03 00,'2008-01-03 12:51 am CST,5,M,280,10,0,none,5,-0.4,30.69
2008-01-03 01,'2008-01-03 01:51 am CST,3,M,250,10,0,none,3.2,-0.4,30.7
2008-01-03 02,'2008-01-03 02:51 am CST,3,M,250,10,0,none,3.2,-2.2,30.69
2008-01-03 03,'2008-01-03 03:51 am CST,3,M,240,10,0,none,1.4,-2.2,30.7
2008-01-03 04,'2008-01-03 04:51 am CST,5,M,230,10,0,none,1.4,-2.2,30.69
2008-01-03 05,'2008-01-03 05:51 am CST,6,M,220,10,0,none,-0.4,-4,30.69
2008-01-03 06,'2008-01-03 06:51 am CST,3,M,220,10,0,none,-0.4,-4,30.69
2008-01-03 07,'2008-01-03 07:51 am CST,5,M,180,10,0,none,-0.4,-2.2,30.67
2008-01-03 08,'2008-01-03 08:51 am CST,9,M,200,10,0,none,3.2,-2.2,30.66
2008-01-03 09,'2008-01-03 09:51 am CST,9,M,210,10,0,none,10.4,1.4,30.66
2008-01-03 10,'2008-01-03 10:51 am CST,13,M,200,10,0,none,12.2,3.2,30.64
2008-01-03 11,'2008-01-03 11:51 am CST,14,M,220,10,0,none,17.6,5,30.6
2008-01-03 24,'2008-01-03 12:51 pm CST,15,M,200,10,0,none,19.4,6.8,30.57
2008-01-03 13,'2008-01-03 01:51 pm CST,14,M,190,10,0,none,19.4,6.8,30.51
2008-01-03 14,'2008-01-03 02:51 pm CST,18,23,180,10,0,none,19.4,8.6,30.47
2008-01-03 15,'2008-01-03 03:51 pm CST,16,M,190,10,0,none,19.4,6.8,30.46
2008-01-03 16,'2008-01-03 04:51 pm CST,15,23,190,10,0,none,17.6,8.6,30.44
2008-01-03 17,'2008-01-03 05:51 pm CST,16,M,190,10,0,none,17.6,10.4,30.42
2008-01-03 18,'2008-01-03 06:51 pm CST,16,M,190,10,0,none,19.4,12.2,30.4
2008-01-03 19,'2008-01-03 07:51 pm CST,20,M,200,10,0,none,21.2,12.2,30.38
2008-01-03 20,'2008-01-03 08:51 pm CST,17,26,200,10,0,none,21.2,12.2,30.37
2008-01-03 21,'2008-01-03 09:51 pm CST,20,25,190,10,0,none,21.2,14,30.36
2008-01-03 22,'2008-01-03 10:51 pm CST,18,M,200,10,0,none,23,14,30.35
2008-01-03 23,'2008-01-03 11:51 pm CST,17,24,210,10,0,none,23,14,30.34
2008-01-04 00,'2008-01-04 12:51 am CST,15,M,210,10,0,none,23,14,30.33
2008-01-04 01,'2008-01-04 01:51 am CST,13,M,210,10,0,none,23,14,30.32
2008-01-04 02,'2008-01-04 02:51 am CST,13,M,200,10,0,none,21.2,14,30.32
2008-01-04 03,'2008-01-04 03:51 am CST,10,M,200,10,0,none,23,15.8,30.3
2008-01-04 04,'2008-01-04 04:51 am CST,13,M,200,10,0,none,24.8,15.8,30.29
2008-01-04 05,'2008-01-04 05:51 am CST,12,M,200,10,0,none,24.8,15.8,30.28
2008-01-04 06,'2008-01-04 06:51 am CST,14,M,190,10,0,none,24.8,15.8,30.27
2008-01-04 07,'2008-01-04 07:51 am CST,14,M,200,10,0,none,24.8,15.8,30.26
2008-01-04 08,'2008-01-04 08:51 am CST,18,24,200,10,0,none,26.6,15.8,30.26
2008-01-04 09,'2008-01-04 09:51 am CST,15,23,200,10,0,none,26.6,15.8,30.26
2008-01-04 10,'2008-01-04 10:51 am CST,16,M,210,10,0,none,28.4,15.8,30.23
2008-01-04 11,'2008-01-04 11:51 am CST,14,M,210,10,0,none,30.2,17.6,30.21
2008-01-04 24,'2008-01-04 12:51 pm CST,15,M,210,10,0,none,30.2,17.6,30.18
2008-01-04 13,'2008-01-04 01:51 pm CST,17,23,200,10,0,none,30.2,19.4,30.16
2008-01-04 14,'2008-01-04 02:51 pm CST,15,M,200,10,0,none,32,19.4,30.14
2008-01-04 15,'2008-01-04 03:51 pm CST,12,M,180,10,0,none,30.2,21.2,30.13
2008-01-04 16,'2008-01-04 04:51 pm CST,13,M,180,10,0,none,32,21.2,30.12
2008-01-04 17,'2008-01-04 05:51 pm CST,10,M,170,10,0,none,30.2,23,30.11
2008-01-04 18,'2008-01-04 06:51 pm CST,18,M,190,10,0,none,33.8,23,30.09
2008-01-04 19,'2008-01-04 07:51 pm CST,17,M,190,10,0,none,33.8,21.2,30.07
