per_cap_income,zipcode
4975,00601
6100,00602
6655,00603
11960,00604
5224,00606
6609,00610
7455,00612
5786,00616
6855,00617
9469,00622
7770,00623
5096,00624
6380,00627
3514,00631
6164,00637
5657,00638
5082,00641
8748,00646
5382,00647
5212,00650
9481,00652
5146,00653
5954,00656
6773,00659
9024,00660
6949,00662
5156,00664
7656,00667
4709,00669
5111,00670
7477,00674
5664,00676
6610,00677
6051,00678
8254,00680
7598,00682
7711,00683
5689,00685
5748,00687
7113,00688
6972,00690
7197,00692
7392,00693
6434,00698
0,006HH
0,006XX
6699,00703
5162,00704
6579,00705
5400,00707
5797,00714
5830,00715
8576,00716
7794,00717
6960,00718
5640,00719
4637,00720
5950,00723
8680,00725
6707,00728
6103,00729
6462,00730
7952,00731
9256,00735
7049,00736
8048,00738
7898,00739
4899,00740
6192,00741
7347,00745
6391,00751
6856,00754
5903,00757
6562,00765
5176,00766
6125,00767
6102,00769
6427,00771
4707,00772
7529,00773
8901,00775
6369,00777
8819,00778
6030,00780
5072,00782
5394,00783
7363,00784
7840,00791
4978,00794
5632,00795
0,007HH
0,007XX
12696,00901
6145,00906
23421,00907
10042,00909
25893,00911
9524,00912
6034,00913
5991,00915
9084,00917
18510,00918
12554,00920
8836,00921
8041,00923
8885,00924
7490,00925
15178,00926
22135,00927
13317,00934
8791,00949
7587,00952
8555,00953
8342,00956
8088,00957
10560,00959
10424,00961
8369,00962
5560,00965
29211,00966
31483,00968
18014,00969
8672,00971
11139,00976
19733,00979
11029,00982
9843,00983
8745,00985
9745,00987
0,009HH
22490,01001
18212,01002
20518,01005
21923,01007
23680,01008
23697,01010
19963,01011
19137,01012
16608,01013
20205,01020
19100,01022
18305,01026
22192,01027
27602,01028
23074,01029
22663,01030
20514,01031
37403,01032
23291,01033
24415,01034
24945,01035
26832,01036
22574,01037
23714,01038
31241,01039
15913,01040
19364,01050
23737,01053
30149,01054
20114,01056
22567,01057
23203,01060
25286,01062
23084,01068
19249,01069
20948,01070
21318,01071
24161,01072
26205,01073
22682,01075
21756,01077
16205,01080
21066,01081
18993,01082
16957,01083
17352,01084
20686,01085
27193,01088
20982,01089
16657,01092
29766,01095
21953,01096
24844,01098
0,010HH
15083,01103
15176,01104
10365,01105
38885,01106
10284,01107
15980,01108
12705,01109
21962,01118
17239,01119
21647,01128
21320,01129
14214,01151
0,011HH
20857,01201
19035,01220
21245,01222
22740,01223
17727,01225
23201,01226
25617,01230
19197,01235
25695,01236
20732,01237
20340,01238
22889,01240
24849,01242
0,01244
30210,01245
16703,01247
28016,01253
35183,01254
26978,01255
20223,01256
29197,01257
50149,01258
28979,01259
41456,01262
42833,01264
31901,01266
25970,01267
0,012HH
19033,01301
25306,01330
17077,01331
21335,01337
17414,01338
20654,01339
19129,01340
25685,01341
21993,01342
18839,01344
16679,01346
17375,01349
12400,01350
21938,01351
23581,01355
21517,01360
17364,01364
24100,01366
27749,01367
18323,01368
21389,01370
26009,01373
20024,01375
17683,01376
19989,01378
19766,01379
19848,01380
0,013HH
17256,01420
21758,01430
21648,01431
25017,01432
17707,01436
20169,01438
19286,01440
33877,01450
45658,01451
23072,01452
21773,01453
31070,01460
26986,01462
25722,01463
20556,01464
29980,01467
22127,01468
22775,01469
24913,01473
22432,01474
18728,01475
0,014HH
23847,01501
28915,01503
20936,01504
32274,01505
20144,01506
23626,01507
22764,01510
22629,01515
23025,01516
22971,01518
32830,01519
28300,01520
21770,01521
26538,01522
20974,01523
20755,01524
23531,01527
20497,01529
21043,01531
32889,01532
22881,01534
20205,01535
25008,01536
22046,01537
21788,01540
32232,01541
23173,01542
23311,01543
31567,01545
18514,01550
19518,01560
21017,01562
28844,01564
26637,01566
34877,01568
24545,01569
20277,01570
21663,01571
35063,01581
26805,01583
20386,01585
22325,01588
27490,01590
0,015HH
23188,01602
16532,01603
19721,01604
16919,01605
21266,01606
16333,01607
10225,01608
20987,01609
12569,01610
19150,01611
29573,01612
0,016HH
33516,01701
22801,01702
44110,01718
40794,01719
41772,01720
31641,01721
39256,01730
16618,01731
42542,01740
59559,01741
51525,01742
39177,01745
32116,01746
25257,01747
41469,01748
26679,01749
28723,01752
27016,01754
27693,01756
23652,01757
35896,01760
58055,01770
44517,01772
67423,01773
38260,01775
53285,01776
53801,01778
26207,01801
30732,01803
41133,01810
25344,01821
30983,01824
23750,01826
30615,01827
23228,01830
22426,01832
28846,01833
25430,01834
24738,01835
10450,01840
11824,01841
16859,01843
22290,01844
34335,01845
16288,01850
17739,01851
19453,01852
15777,01854
24869,01860
23669,01862
28904,01863
30870,01864
32888,01867
27113,01876
27249,01879
30369,01880
37979,01886
25849,01887
50414,01890
0,018HH
15988,01902
23166,01904
16169,01905
25519,01906
35487,01907
41807,01908
24103,01913
28626,01915
48846,01921
34698,01922
26852,01923
31613,01929
25595,01930
32516,01938
39560,01940
47910,01944
46738,01945
29031,01949
34739,01950
31034,01951
21608,01952
24827,01960
29294,01966
27413,01969
23857,01970
33222,01982
37770,01983
36812,01984
35323,01985
0,019HH
25047,02019
33655,02021
42909,02025
28192,02026
64899,02030
31191,02032
32294,02035
27849,02038
41703,02043
26331,02045
27441,02048
28784,02050
42891,02052
27578,02053
27957,02054
32454,02056
37222,02061
27720,02062
34047,02066
41316,02067
24513,02071
25480,02072
32755,02081
41581,02090
30792,02093
0,020HH
78771,02108
82689,02109
82736,02110
16858,02111
38052,02113
52866,02114
21476,02115
60763,02116
31549,02118
13982,02119
15115,02120
13141,02121
16584,02122
16154,02124
15882,02125
16489,02126
23980,02127
15167,02128
38963,02129
25700,02130
20914,02131
28987,02132
18277,02134
24730,02135
18682,02136
36553,02138
26411,02139
33678,02140
23371,02141
43499,02142
25122,02143
26852,02144
19378,02145
22004,02148
19845,02149
14628,02150
19698,02151
27374,02152
24624,02155
26265,02163
25581,02169
24790,02170
28733,02171
30347,02176
27599,02180
28683,02184
37138,02186
23933,02188
23216,02189
26300,02190
27380,02191
88974,02199
0,021HH
36115,02210
16550,02215
20336,02222
0,022HH
16883,02301
17688,02302
24410,02322
23096,02324
20398,02330
40242,02332
23532,02333
23760,02338
30268,02339
23710,02341
23364,02343
20270,02346
25972,02347
23380,02351
32500,02356
16208,02358
27066,02359
23766,02360
23370,02364
13898,02366
24344,02367
23374,02368
23068,02370
28429,02375
23735,02379
23002,02382
0,023HH
0,023XX
45401,02420
46727,02421
48709,02445
41474,02446
28397,02451
28210,02452
24344,02453
42281,02458
48640,02459
42593,02460
47127,02461
35626,02462
39600,02464
44985,02465
39035,02466
41179,02467
65108,02468
33262,02472
32351,02474
37559,02476
42495,02478
62074,02481
42447,02482
47654,02492
79640,02493
37913,02494
21487,02532
36090,02534
27402,02535
23790,02536
31784,02537
19954,02538
25740,02539
34100,02540
14052,02542
31620,02543
31314,02554
31462,02556
18571,02558
27321,02559
24797,02563
26036,02568
21865,02571
42511,02575
20386,02576
0,025HH
18000,025XX
18178,02601
41228,02630
24140,02631
26937,02632
29034,02633
29502,02635
27705,02638
24148,02639
24642,02642
23872,02644
22672,02645
26142,02646
39775,02647
23416,02648
25205,02649
31327,02650
19240,02652
29520,02653
38687,02655
26109,02657
24657,02659
24000,02660
15000,02661
21095,02664
28804,02666
25715,02667
28372,02668
29017,02669
28996,02670
26332,02671
38781,02672
19597,02673
30777,02675
0,026HH
24401,02702
22660,02703
17147,02713
21976,02715
24083,02717
19791,02718
20986,02719
18738,02720
15092,02721
14185,02723
14518,02724
20404,02725
22793,02726
37265,02738
28050,02739
15542,02740
21762,02743
13843,02744
19231,02745
11370,02746
21229,02747
29508,02748
25816,02760
25816,02762
27719,02763
22946,02764
23876,02766
24612,02767
26473,02769
24944,02770
24058,02771
21784,02777
21652,02779
19905,02780
25330,02790
0,027HH
25430,02804
35881,02806
29188,02807
17169,02808
21532,02809
24280,02812
25642,02813
22201,02814
19841,02815
22049,02816
25815,02817
36179,02818
25318,02822
22345,02825
22503,02827
25667,02828
23215,02830
27632,02831
21912,02832
24068,02833
38664,02835
20792,02836
32513,02837
18546,02838
22534,02839
25491,02840
25781,02842
27542,02852
28280,02857
17515,02858
20076,02859
15900,02860
18888,02861
10843,02863
25592,02864
28276,02865
28161,02871
30688,02874
22581,02875
22866,02878
27151,02879
14608,02881
28354,02882
22448,02885
23531,02886
23643,02888
21843,02889
24788,02891
24842,02892
20250,02893
19524,02894
16223,02895
24528,02896
20888,02898
0,028HH
15513,02903
21001,02904
15689,02905
30070,02906
10806,02907
14185,02908
11188,02909
21144,02910
22179,02911
16557,02914
20143,02915
26440,02916
21911,02917
21434,02919
20565,02920
27158,02921
0,029HH
35438,03031
28405,03032
29272,03033
25267,03034
23842,03036
24160,03037
22331,03038
21109,03042
27215,03043
24113,03044
24386,03045
19908,03047
21599,03048
44936,03049
25696,03051
25203,03052
26488,03053
27781,03054
24349,03055
30260,03057
20946,03060
28889,03062
27940,03063
24118,03064
26614,03070
20148,03071
25158,03076
18430,03077
26170,03079
28711,03082
22505,03084
26198,03086
38559,03087
0,030HH
16905,03101
19954,03102
17884,03103
25781,03104
24629,03106
22101,03109
37730,03110
0,031HH
26400,03215
21660,03216
18235,03217
18368,03218
20030,03220
22003,03221
21372,03222
18869,03223
27380,03224
20284,03225
26562,03226
22407,03227
30753,03229
19409,03230
34207,03233
22805,03234
17149,03235
23126,03237
16918,03240
25030,03241
24522,03242
21004,03243
20302,03244
23413,03246
17999,03251
24819,03253
25778,03254
29161,03255
20457,03256
36882,03257
27829,03259
23546,03260
21502,03261
20855,03262
21102,03263
18408,03264
17864,03266
23437,03268
22954,03269
23164,03273
19985,03275
18948,03276
21765,03278
16454,03279
20538,03280
22182,03281
18666,03282
20116,03284
25713,03287
25060,03290
18517,03291
0,032HH
0,032XX
22488,03301
19876,03303
29557,03304
24669,03307
0,033HH
20552,03431
19044,03440
24269,03441
19651,03442
19162,03443
27408,03444
21729,03445
20495,03446
22993,03447
20412,03448
29468,03449
23795,03450
16611,03451
21412,03452
21641,03455
18810,03456
32608,03457
26145,03458
18495,03461
27493,03462
20368,03464
17711,03465
24500,03466
24488,03467
16674,03470
0,034HH
18803,03561
15993,03570
20167,03574
17794,03576
23872,03579
22839,03580
17600,03581
15512,03582
20477,03583
19553,03584
20239,03585
19183,03588
14321,03590
17841,03592
18753,03595
16813,03598
0,035HH
0,035XX
18102,03601
20719,03602
19130,03603
18555,03605
15718,03607
24060,03608
20266,03609
0,036HH
20505,03741
20033,03743
23248,03745
22245,03748
40269,03750
25506,03751
20591,03752
32225,03753
29606,03755
21666,03765
23992,03766
34727,03768
24308,03770
19668,03771
17630,03773
16759,03774
23308,03777
22183,03779
15619,03780
26375,03781
29742,03782
28840,03784
17330,03785
0,037HH
27635,03801
26581,03809
21809,03810
30412,03811
19553,03812
20399,03813
18685,03814
19846,03815
22975,03816
18364,03817
18124,03818
22251,03819
23632,03820
18861,03824
20956,03825
26788,03826
28664,03827
18199,03830
21122,03832
26466,03833
15974,03835
23036,03836
25911,03837
25189,03838
20427,03839
31270,03840
29977,03841
29881,03842
35025,03844
21427,03845
25467,03846
28795,03848
21373,03849
20927,03852
30544,03853
67695,03854
22139,03855
28687,03856
22085,03857
22910,03858
20116,03860
34187,03862
19286,03864
25255,03865
18996,03867
17967,03868
24258,03869
36746,03870
23027,03872
25804,03873
21108,03874
17721,03875
19645,03878
20867,03882
21104,03883
25691,03884
33270,03885
17630,03886
18068,03887
26259,03894
17980,03897
0,038HH
18874,03901
30214,03902
24403,03903
22286,03904
31749,03905
19722,03906
34289,03907
21220,03908
31022,03909
0,039HH
19330,04001
19896,04002
29307,04003
18363,04005
21118,04008
17352,04009
15904,04010
20322,04011
19287,04015
18941,04017
23821,04019
17527,04020
30640,04021
21202,04022
18168,04024
15524,04027
18763,04029
16301,04030
27666,04032
18468,04037
21164,04038
21851,04039
17898,04040
16288,04041
19964,04042
26178,04043
28788,04046
16930,04047
18872,04048
17018,04049
15278,04050
16534,04051
18179,04055
17155,04061
19890,04062
20274,04064
21904,04066
15279,04068
26929,04069
25189,04071
20821,04072
16682,04073
26364,04074
